check_date,dataset_name,source_checked,check_result,source_url,notes
2026-05-22,election_admin,Public search for replacement ballot and federal probe updates,admin_context_updated,https://www.nbcwashington.com/news/local/trump-orders-investigation-into-maryland-ballot-error/4107120/,Added May 21 media-context row that Trump said he ordered a DOJ investigation into the Maryland mail-ballot vendor error; no official DOJ source was found in public search as of May 22.
2026-05-24,candidates,Maryland SBE statewide candidate list and CSV,active_candidate_list_verified_no_change,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,SBE candidate list showed last updated May 22 2026 at 02:45 PM; active Republican governor ticket set remained Brunner Burkindine Cox Hale Larcomb Myrick Oakes Taylor and Wright with Wedekind disqualified.
2026-05-24,markets,Lines/Polymarket Maryland GOP governor primary market,current_market_snapshot_refreshed,https://www.lines.com/prediction-markets/elections/maryland-governor-republican-primary-winner,Lines page was refreshed May 24; displayed candidate prices remained Cox 58 percent Hale 36 percent Myrick 3 percent with non-active Hogan Hershey and Bouchat outcomes still listed. Page showed about 546.2K dollars total volume 496 dollars 24 hour volume and 70.5K dollars liquidity.
2026-05-24,markets,PredictionEdge Maryland GOP governor primary market page,secondary_market_cross_check_not_modelled,https://www.predictionedge.com/elections/governor/maryland-republican-primary/,PredictionEdge page showed last updated May 24 2026 at 11:08 AM UTC and listed current odds from Kalshi as Cox 61 percent Hale 38 percent and Bouchat 2.9 percent with 16.2K dollars total volume; logged as a cross-check but not added to the model table because the current market pipeline assumes one primary market source.
2026-05-24,polls,Public search for Maryland 2026 Republican governor primary polls,no_credible_candidate_poll_found,https://www.predictionedge.com/elections/governor/maryland-republican-primary/,Public search through May 24 found no credible candidate-level Maryland Republican governor primary poll with pollster sample field dates and topline table.
2026-05-24,election_admin,Maryland SBE primary election and mail-in ballot replacement pages,official_pages_checked_no_new_model_row,https://elections.maryland.gov/elections/2026/2026_replacement_mib.html,SBE replacement-ballot page still showed updated 5/18/2026 and election calendar deadlines remained unchanged; no new model row added.
2026-05-24,events,Public search for Maryland GOP governor primary candidate events and endorsements,no_new_modelable_candidate_event_found,https://marylandmatters.org/2026/05/20/trio-of-gop-candidates-for-governor-out-of-nine-total-meet-in-debate/,Public search through May 24 found no new modelable Republican governor candidate debate endorsement withdrawal or campaign event after the May 19 debate coverage already coded.
2026-05-24,environment_polls,Public search for Maryland governor approval and election environment polling,no_new_environment_poll_found,https://politics.umbc.edu/wp-content/uploads/sites/778/2026/04/Part-2-UMBC-Poll-Wed-April-1.pdf,Public search through May 24 found no newer Maryland governor approval direction-of-state or matchup poll than the existing UMBC and Gonzales environment polling inputs.
2026-05-25,candidates,Maryland SBE statewide candidate list and Governor/Lt. Governor CSV,active_candidate_list_verified_no_change,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,SBE candidate list showed last updated May 25 2026 at 11:45 AM; active Republican governor ticket set remained Brunner Burkindine Cox Hale Larcomb Myrick Oakes Taylor and Wright with Wedekind disqualified.
2026-05-25,markets,PredictionEdge Maryland GOP governor primary market page,secondary_market_cross_check_not_modelled,https://www.predictionedge.com/elections/md/,PredictionEdge Maryland overview showed the Maryland Republican Governor nominee market at about 17.6K dollars total volume with Dan Cox 65 percent and Ed Hale 30 percent plus seven more candidates; logged as a cross-check but not added to the model table because the current market pipeline assumes one primary market source.
2026-05-25,markets,Lines/Polymarket Maryland GOP governor primary market,current_market_snapshot_refreshed_no_change,https://www.lines.com/prediction-markets/elections/maryland-governor-republican-primary-winner,Lines page was refreshed May 25; displayed candidate prices remained Cox 58 percent Hale 36 percent Myrick 3 percent with non-active Hogan Hershey and Bouchat outcomes still listed. Page showed about 546.2K dollars total volume 496 dollars 24 hour volume and 70.5K dollars liquidity.
2026-05-25,polls,Public search for Maryland 2026 Republican governor primary polls,no_credible_candidate_poll_found,https://www.predictionedge.com/elections/governor/77700df2f5b04ad182310428937590f3/,Public search through May 25 found no credible candidate-level Maryland Republican governor primary poll with pollster sample field dates and topline table; PredictionEdge continues to show market odds and unrelated FEC fields rather than a usable poll.
2026-05-25,finance,MDCRIS and public finance news search,pre_deadline_finance_checked_no_new_rows,https://campaignfinance.maryland.gov/,Pre-Primary Report 1 deadline is May 26 2026; public search on May 25 found no newer candidate finance figures beyond May 20 Maryland Matters and Baltimore Banner reporting so no finance row was added before the deadline filings can be fully checked.
2026-05-25,election_admin,DOJ records-preservation request and SBE replacement-ballot pages,admin_context_updated,https://www.democracydocket.com/news-alerts/doj-civil-rights-chief-requests-maryland-retain-records-regarding-mail-in-ballot-error/,Added May 22 media-context row for DOJ Civil Rights request that Maryland preserve records related to the mail-ballot vendor error; SBE replacement-ballot page still showed official updated 5/18/2026 instructions and May 29 completion target.
2026-05-25,events,Public search for Maryland GOP governor primary candidate events and endorsements,no_new_modelable_candidate_event_found,https://marylandmatters.org/2026/05/20/trio-of-gop-candidates-for-governor-out-of-nine-total-meet-in-debate/,Public search through May 25 found no new modelable Republican governor candidate debate endorsement withdrawal or campaign event after the May 19 debate coverage already coded.
2026-05-25,environment_polls,Public search for Maryland governor approval and election environment polling,no_new_environment_poll_found,https://politics.umbc.edu/wp-content/uploads/sites/778/2026/04/Part-2-UMBC-Poll-Wed-April-1.pdf,Public search through May 25 found no newer Maryland governor approval direction-of-state or matchup poll than the existing UMBC and Gonzales environment polling inputs.
2026-05-26,candidates,Maryland SBE statewide candidate list and Governor/Lt. Governor CSV,active_candidate_list_verified_no_change,https://elections.maryland.gov/elections/2026/Primary_candidates/2026_GP_statewide_candidatelist.html,SBE candidate list showed last updated May 26 2026 at 11:45 AM; active Republican governor ticket set remained Brunner Burkindine Cox Hale Larcomb Myrick Oakes Taylor and Wright with Wedekind disqualified.
2026-05-26,markets,PredictionEdge Maryland GOP governor primary market page,secondary_market_cross_check_not_modelled,https://www.predictionedge.com/elections/governor/maryland-republican-primary/,PredictionEdge page showed last updated May 26 2026 at 11:23 AM UTC and listed Kalshi-sourced odds as Cox 66 percent Hale 29 percent and Bouchat 2.9 percent with about 17.7K dollars total volume; logged as a cross-check but not added to the model table because the current market pipeline assumes one primary market source.
2026-05-26,markets,Lines/Polymarket Maryland GOP governor primary market,current_market_snapshot_refreshed_no_change,https://www.lines.com/prediction-markets/elections/maryland-governor-republican-primary-winner,Lines page was refreshed May 26; displayed candidate prices remained Cox 58 percent Hale 36 percent Myrick 3 percent with non-active Hogan Hershey and Bouchat outcomes still listed. Page showed about 546.2K dollars total volume 496 dollars 24 hour volume and 70.5K dollars liquidity.
2026-05-26,polls,Public search for Maryland 2026 Republican governor primary polls,no_credible_candidate_poll_found,https://www.predictionedge.com/elections/governor/maryland-republican-primary/,Public search through May 26 found no credible candidate-level Maryland Republican governor primary poll with pollster sample field dates and topline table; market pages still do not provide usable polling inputs.
2026-05-26,finance,MDCRIS and public finance news search,deadline_day_finance_checked_no_new_rows,https://campaignfinance.maryland.gov/,Pre-Primary Report 1 deadline is May 26 2026; public search during the deadline day found no complete newer candidate finance table beyond the existing Maryland Matters and Baltimore Banner reporting so no finance row was added yet.
2026-05-26,election_admin,Maryland SBE primary election and mail-in ballot replacement pages,official_pages_checked_no_new_model_row,https://elections.maryland.gov/elections/2026/2026_replacement_mib.html,SBE replacement-ballot page still showed official updated 5/18/2026 instructions with corrected ballots expected to be mailed the week of May 18 and completed by May 29; no new admin row added.
2026-05-26,events,Baltimore Sun/Yahoo and public search for GOP governor candidate events,historical_event_backfill_added,https://www.yahoo.com/news/articles/cox-hale-skip-maryland-first-031400802.html,Added March 26 first-debate participation and absence rows for Burkindine Larcomb Myrick Oakes Wright Cox and Hale; public search through May 26 found no newer modelable event after the May 19 debate coverage already coded.
2026-05-26,environment_polls,Public search for Maryland governor approval and election environment polling,no_new_environment_poll_found,https://politics.umbc.edu/wp-content/uploads/sites/778/2026/04/Part-2-UMBC-Poll-Wed-April-1.pdf,Public search through May 26 found no newer Maryland governor approval direction-of-state or matchup poll than the existing UMBC and Gonzales environment polling inputs.
